essayid,score
1623,5
1143,3
660,3
1596,4
846,5
868,4
145,3
500,3
652,3
214,2
1229,4
1588,3
1435,4
115,3
309,4
70,4
1068,5
42,5
47,3
100,4
165,3
479,3
977,4
1292,4
764,4
31,3
25,3
1438,4
1216,4
712,3
368,2
1180,4
1514,3
1172,3
1139,4
835,3
790,5
893,4
579,3
1517,3
1749,3
402,3
1570,3
1049,3
925,1
1140,3
138,3
671,4
541,4
889,3
845,3
1217,4
1148,4
197,5
1087,3
612,4
757,3
1508,3
720,4
1685,5
665,1
738,4
994,3
1235,3
576,3
373,3
851,3
1323,4
1648,3
810,3
569,3
89,3
1552,1
352,3
472,3
1647,3
740,3
844,3
1116,5
921,4
330,4
658,4
185,3
1313,3
849,4
18,2
662,5
331,4
279,1
124,3
182,4
811,3
396,3
708,3
523,4
36,3
956,4
785,4
528,3
311,3
876,3
1198,5
721,1
1400,4
72,3
486,4
1056,3
906,3
1048,5
152,4
228,5
1371,3
37,3
1754,4
1769,4
186,3
1332,2
928,5
1446,1
532,3
980,4
91,4
1224,5
506,3
1357,2
1374,3
1078,3
983,5
759,4
1650,1
635,4
816,4
1488,1
1600,3
1268,4
1285,3
1424,3
156,4
1582,1
886,3
1105,4
258,4
1748,4
1007,2
1617,3
916,4
1271,3
1124,3
631,5
345,4
617,4
245,3
1767,3
584,3
1525,5
972,3
457,3
1561,3
475,3
1367,4
420,4
1069,2
1739,1
376,2
975,4
531,5
1658,3
367,3
678,1
1242,4
262,3
670,4
1064,3
1350,3
198,4
137,3
866,4
1300,3
774,3
1159,5
1125,3
1361,2
507,4
762,4
277,4
389,5
1346,2
874,3
48,4
1675,3
647,3
1720,5
1590,3
1152,5
1226,2
862,5
1562,4
1336,2
1171,3
